,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
Inside Deep Throat,3.21768,2000000,6.8,82,-2.059877207,0
Ed Wood,11.720358,18000000,7.3,93,-2.05734717,0
Gracie,2.961621,9000000,6,61,-2.045645083,0
Surviving Christmas,8.698971,45000000,5.1,8,-2.041851003,0
Terminal Velocity,8.012225,50000000,5,19,-2.034183107,0
Very Bad Things,10.432293,30000000,6.2,41,-2.030789181,0
The Order,5.370818,35000000,4.8,13,-2.027470576,0
The Iron Giant,15.441459,70000000,7.6,96,-2.022543207,0
Playing God,9.657642,12000000,5.6,16,-2,0
Baby's Day Out,12.508518,50000000,5.8,19,-1.999129353,0
The Bonfire of the Vanities,5.507082,47000000,5.3,15,-1.995311,0
Solitary Man,5.829644,15000000,5.8,78,-1.985204134,0
Novocaine,3.916221,6000000,6,38,-1.962614764,0
Everybody Wants Some!!,6.737797,10000000,6.3,87,-1.940936006,0
Flawless,6.496913,20000000,6.6,67,-1.932728917,0
Ken Park,12.630419,1300000,5.7,46,-1.90346428,0
The Bounty,7.492912,25000000,6.5,74,-1.902433423,0
Midnight Special,12.682927,18000000,6.2,83,-1.89748598,0
The In Crowd,1.991904,15000000,4.7,2,-1.874941207,0
Gattaca,12.89312,36000000,7.5,82,-1.872467929,0
An American Carol,2.151159,20000000,4.1,12,-1.857142857,0
The Young Messiah,1.729199,18500000,6.4,50,-1.850363175,0
On the Road,7.323283,25000000,5.5,45,-1.845980758,0
Play It to the Bone,4.347609,24000000,5.7,11,-1.845575592,0
K-19: The Widowmaker,7.718723,100000000,6.1,60,-1.843415982,0
Mallrats,8.25547,6000000,6.8,58,-1.826773883,0
Ran,12.250232,11500000,7.9,96,-1.825793747,0
Article 99,2.471038,18000000,5.5,43,-1.823095873,0
Joe's Apartment,9.490858,13000000,5,19,-1.814453474,0
Videodrome,7.945039,5952000,7.1,80,-1.806965916,0
Zoom,11.967444,35000000,4.9,61,-1.798614574,0
Memoirs of an Invisible Man,6.064099,40000000,5.7,26,-1.785896926,0
At Close Range,10.092348,6500000,6.7,86,-1.76949297,0
Shark Night,6.062425,28000000,4.9,19,-1.765033934,0
Johnny Handsome,9.059459,20000000,6.1,57,-1.763272898,0
Vampire's Kiss,3.265426,2000000,6,61,-1.758122325,0
Miller's Crossing,7.495853,14000000,7.5,93,-1.755683647,0
Foolish Wives,0.838095,1100000,6.4,89,-1.748625687,0
Take Me Home Tonight,8.132811,19000000,6.2,28,-1.742467308,0
Killer Joe,6.452069,10000000,6.4,80,-1.728461592,0
The Immigrant,6.985915,16000000,6.2,85,-1.726798946,0
Highlander,16.870392,16000000,6.8,71,-1.711864407,0
The East,6.53667,6500000,6.5,76,-1.706630412,0
Their Finest,17.958512,32745300,7.1,90,-1.689890393,0
Bitter Moon,11.298195,5000000,7,63,-1.684124211,0
By the Sea,12.61223,10000000,5.4,35,-1.682586206,0
"Paris, je t'aime",6.980486,13000000,6.7,86,-1.676347083,0
Aquarius,4.860265,762241,7.5,97,-1.665830798,0
Proof,7.983902,20000000,6.2,94,-1.654163434,0
The Last Legion,8.920545,67000000,5,15,-1.647903386,0
Hackers,14.810519,20000000,6.2,31,-1.644198734,0
Pushing Hands,1.638622,400000,6.1,100,-1.62601594,0
Afflicted,8.93232,318000,6.4,83,-1.624217067,0
Australia,9.566135,130000000,6.3,54,-1.623400629,0
Miracle Mile,10.018693,3000000,7.2,91,-1.619163195,0
The Last Castle,9.807552,72000000,7,52,-1.60466531,0
Everything is Illuminated,7.738924,7000000,7.4,66,-1.594581772,0
The 13th Warrior,10.308026,160000000,6.4,33,-1.593239144,0
Rashomon,9.887355,250000,8,98,-1.588849308,0
The Out-of-Towners,9.019881,75000000,5.1,28,-1.586206897,0
Red Sonja,10.014248,17900000,5,21,-1.576046253,0
Freedomland,5.388535,37665000,5.2,23,-1.570002459,0
Clifford,2.459293,19000000,5.3,13,-1.563528624,0
Young Adam,5.235419,6400000,5.9,62,-1.56,0
American Outlaws,10.855383,35000000,5.7,14,-1.558682843,0
Earth Girls Are Easy,11.509677,10000000,5.5,68,-1.553428578,0
Explorers,4.935932,25000000,6.2,72,-1.532147127,0
A Girl Walks Home Alone at Night,6.039895,1000000,6.9,96,-1.53164557,0
Transsiberian,12.497651,15000000,6.5,91,-1.531043245,0
Zero Effect,3.621052,5000000,6,65,-1.52482152,0
Nine 1/2 Weeks,6.706262,17000000,5.8,60,-1.523782193,0
Wyatt Earp,9.277147,63000000,6.5,31,-1.51476928,0
I Could Never Be Your Woman,11.414893,24000000,5.7,64,-1.506136118,0
Bride Flight,2.065753,6400000,6.9,68,-1.503020246,0
Black Nativity,5.346121,17500000,5.8,50,-1.493520764,0
Mrs. Winterbourne,9.1861,25000000,5.5,15,-1.482621648,0
Under the Skin,6.707974,13300000,6,88,-1.47200363,0
How Do You Know,5.458387,120000000,4.9,31,-1.465639921,0
Thumbelina,13.856199,28000000,6.1,38,-1.461862886,0
Invaders from Mars,3.580884,12000000,5.5,87,-1.456668966,0
Pinocchio and the Emperor of the Night,0.743274,8000000,5.3,50,-1.452755333,0
Curse of the Pink Panther,8.046375,11000000,3.6,29,-1.448805495,0
From Justin to Kelly,1.695369,12000000,3,8,-1.437951097,0
Girl 6,4.405169,12000000,5.7,39,-1.429179794,0
Unfinished Business,10.24952,35000000,5,100,-1.42529183,0
Straw Dogs,8.048422,25000000,5.5,42,-1.421438604,0
Twin Peaks: Fire Walk with Me,8.736538,10000000,7.3,64,-1.403354506,0
The Adventures of Ford Fairlane,3.834949,49000000,6.2,25,-1.399210043,0
Pennies from Heaven,8.031761,22000000,6.3,82,-1.398790399,0
The House of Yes,3.974374,1500000,6.3,62,-1.395947973,0
Red Planet,8.534176,80000000,5.4,14,-1.39063095,0
Death Defying Acts,4.522772,20000000,5.5,42,-1.386541149,0
Matewan,3.350126,4000000,7.2,94,-1.380445119,0
Spartan,7.364519,19250000,6.3,65,-1.372819348,0
The Isle,3.882092,50000,6.9,78,-1.372479241,0
Life or Something Like It,6.332398,40000000,5.7,27,-1.370697562,0
The Book of Henry,24.553725,10000000,7.6,22,-1.369928826,0
The Quiet,4.997751,900000,6.1,21,-1.359603587,0
Micmacs,5.278672,33000000,6.8,72,-1.357142857,0
The Mother,3.551063,2500000,6.3,78,-1.353488293,0
Post Grad,9.747452,15000000,5,8,-1.341830796,0
The Horseman on the Roof,1.690768,35000000,6.7,63,-1.333333333,0
Abandon,3.485213,25000000,4.6,16,-1.332229442,0
The Barbarian Invasions,4.125182,8000000,6.7,81,-1.330770069,0
Boat Trip,6.515316,20000000,4.7,7,-1.329271395,0
Stay Tuned,13.72021,25000000,6,47,-1.328527036,0
American Dreamz,4.936369,17000000,4.9,38,-1.324300963,0
Thirteen Days,10.204559,80000000,6.9,83,-1.314363059,0
Flushed Away,9.922577,149000000,6,73,-1.311535543,0
Wicker Park,5.605652,30000000,6.7,27,-1.307469193,0
Dungeons & Dragons,4.884311,35000000,3.9,10,-1.304869577,0
The Blob,10.874079,19000000,6.3,63,-1.303604668,0
Burke & Hare,7.787593,10000000,6.1,32,-1.299280302,0
Super Mario Bros.,7.198455,48000000,4,29,-1.294952563,0
The Fountain,11.577121,35000000,6.8,52,-1.286850804,0
Mystery Men,10.466306,68000000,5.7,60,-1.284791844,0
Rosewood,2.899809,30000000,6.7,87,-1.284783139,0
Sinbad: Legend of the Seven Seas,8.388773,60000000,6.6,45,-1.282382442,0
Big Trouble in Little China,11.109932,25000000,7.1,74,-1.272727273,0
Boy Culture,2.317528,500000,6,70,-1.271168425,0
Austenland,8.076305,4900000,6.6,32,-1.269526146,0
Ratchet & Clank,9.115939,20000000,5.4,21,-1.267232069,0
"Jeff, Who Lives at Home",5.872794,10000000,6.1,77,-1.263682831,0
Body of Evidence,4.655727,30000000,4.5,8,-1.260126213,0
On the Job,2.934298,1052753,6.2,94,-1.258700074,0
Metallica: Through the Never,5.229975,18000000,6.7,80,-1.25762881,0
The Skin I Live In,9.782542,13000000,7.4,81,-1.251139163,0
Event Horizon,11.335072,60000000,6.4,32,-1.249445343,0
The Act of Killing,6.373118,1000000,7.5,95,-1.249339257,0
Return to Oz,6.523262,25000000,6.6,56,-1.244608249,0
The Work and the Glory,0.52757,7500000,6.1,17,-1.240379586,0
The Ice Storm,7.146352,18000000,6.9,86,-1.239346031,0
Mighty Aphrodite,15.899134,15000000,6.7,78,-1.23880597,0
The Cotton Club,9.508061,58000000,6.5,77,-1.236901697,0
Losing Isaiah,7.698526,17000000,6.4,45,-1.23573424,0
Stop-Loss,5.430566,25000000,6.1,65,-1.230722763,0
Delicatessen,12.565447,4000000,7.4,89,-1.229422017,0
Hoodwinked Too! Hood VS. Evil,9.382577,30000000,4.8,11,-1.218634772,0
The Chamber,3.998494,50000000,5.9,33,-1.218243285,0
Showgirls,17.502375,45000000,4.9,23,-1.211220282,0
Valerian and the City of a Thousand Planets,15.262706,197471676,6.7,48,-1.193537673,0
The Lost City,2.637004,9600000,5.9,79,-1.188664723,0
Extreme Measures,4.990506,38000000,5.7,56,-1.186405323,0
Slackers,8.559189,14000000,5.4,10,-1.182754215,0
The Last Circus,4.896196,7000000,6.6,76,-1.174814038,0
The Princess of Montpensier,2.156145,14734000,6.4,85,-1.174721308,0
A Cry in the Dark,3.970538,15000000,6.4,94,-1.171144991,0
Heist,8.476315,8900000,5.6,29,-1.170731707,0
Hart's War,14.116474,70000000,5.9,60,-1.1680523,0
For Your Consideration,12.142183,12000000,5.9,53,-1.165273524,0
Blue Car,2.154226,1000000,6.7,81,-1.155172414,0
Welcome to Mooseport,3.832792,30000000,4.8,13,-1.142857143,0
Jem and the Holograms,5.394112,5000000,5.4,22,-1.14253515,0
Flight of the Phoenix,15.434731,45000000,5.7,30,-1.141920817,0
Criminal,10.038581,31500000,5.8,29,-1.141590254,0
The Wild,7.904333,80000000,5.1,19,-1.139950288,0
Cool World,11.781895,30000000,4.9,4,-1.126062916,0
The End of the Affair,6.200344,23000000,6.6,67,-1.124158741,0
This Must Be the Place,10.710831,25000000,6.7,66,-1.120264992,0
FearDotCom,5.160215,40000000,3.2,3,-1.116176503,0
Class of 1999,6.700173,5200000,6.3,63,-1.113911366,0
Most Wanted,10.323838,25000000,5.8,70,-1.111804327,0
R.I.P.D.,9.369679,130000000,5.4,12,-1.108729328,0
The Ballad of Jack and Rose,4.173231,1500000,6.5,47,-1.105872014,0
The Lair of the White Worm,9.97466,2500000,5.8,69,-1.10205034,0
The Duelist,2.981184,12823507,6,43,-1.1015583,0
It's a Boy Girl Thing,8.960677,15500000,6.3,67,-1.098725681,0
Moonlight Mile,14.074906,21000000,6.4,63,-1.097682061,0
The Marrying Man,2.70816,26000000,5,10,-1.087553939,0
I Spy,10.404277,70000000,5.2,15,-1.085745784,0
The King and I,1.466461,25000000,5,13,-1.083333333,0
Suspect Zero,7.550891,27000000,5.5,18,-1.076923077,0
Duplex,12.160363,40000000,5.9,35,-1.070164607,0
RoboCop 3,8.685798,22000000,4.2,6,-1.056803298,0
Battlefield Earth,5.276926,44000000,3,3,-1.056074766,0
Sympathy for Mr. Vengeance,6.314697,4000000,7.3,53,-1.046101741,0
Bee Season,2.308846,14000000,5.2,43,-1.041712478,0
Titan A.E.,7.515631,75000000,6.3,50,-1.040559022,0
Shattered Glass,6.0872,6000000,6.6,92,-1.037523024,0
Journey from the Fall,0.044561,1300000,5,92,-1.034428795,0
Punisher: War Zone,8.333526,20500000,5.6,29,-1.031840829,0
The Space Between Us,11.824404,30000000,7.2,16,-1.027933431,0
Color of Night,14.228963,40000000,5.4,22,-1.027775454,0
The Legend of Bagger Vance,9.034884,80000000,6.4,43,-1.027398928,0
Wonderland,8.062123,5000000,6.2,34,-1.027210024,0
Burn,0.466236,225000,7.1,100,-1.021563342,0
Thunderbirds,14.363421,57000000,4.2,19,-1.015299518,0
Doctor Dolittle,3.896319,18000000,6,29,-1,0
Sabotage,6.966505,35000000,5.5,92,-0.999026988,0
The Cave,8.077253,30000000,5.2,97,-0.998935101,0
Riding Alone for Thousands of Miles,1.883227,7500000,7.3,80,-0.998760768,0
Blues Brothers 2000,13.162168,28000000,5.2,46,-0.992686272,0
Foxcatcher,8.10357,24000000,6.5,87,-0.984077776,0
Once Upon a Forest,3.14419,13000000,6.2,22,-0.975067958,0
The Pagemaster,7.436001,27000000,6.2,21,-0.975028616,0
The Neverending Story II: The Next Chapter,6.658994,32000000,5.5,14,-0.965159322,0
Anthropoid,8.475983,9000000,6.9,67,-0.956521739,0
Alex & Emma,5.236854,30000000,5,11,-0.951994343,0
Damnation Alley,2.217704,17000000,5,40,-0.949541284,0
Anonymous,13.413895,30000000,6.3,46,-0.948673626,0
Winter's Tale,7.363527,60000000,6,13,-0.948037338,0
Ready to Rumble,3.69298,24000000,4.7,22,-0.939799926,0
Monster Trucks,14.801195,125000000,6,32,-0.938167345,0
The House of Mirth,2.492547,10000000,6.4,82,-0.936331859,0
Code Name: The Cleaner,11.107148,20000000,4.7,4,-0.934708053,0
The Majestic,8.063684,72000000,6.6,42,-0.929386698,0
31,6.636625,1500000,4.9,47,-0.923520812,0
Brokedown Palace,6.570918,25000000,6.2,31,-0.923076923,0
Clockers,4.558992,25000000,6.8,73,-0.912555221,0
Quills,5.387711,13500000,6.8,75,-0.91194407,0
Walk Hard: The Dewey Cox Story,7.219935,35000000,6.6,74,-0.9107775,0
Your Highness,5.67375,49900000,5.2,27,-0.910293681,0
Blood Work,5.852263,50000000,6.1,52,-0.908432129,0
The Red Violin,7.725843,18000000,7.2,74,-0.895653141,0
The Soloist,11.328316,60000000,6.6,57,-0.89154165,0
Funny Games,6.841586,15000000,6.3,51,-0.88943719,0
Igby Goes Down,5.536107,9000000,6.5,75,-0.883844256,0
Geronimo: An American Legend,4.653462,35000000,5.9,48,-0.878123722,0
The Big Kahuna,4.896026,7000000,6.8,74,-0.877235251,0
The Rum Diary,10.110504,45000000,5.6,51,-0.875,0
Deconstructing Harry,6.280515,20000000,7.3,73,-0.871460425,0
SpaceCamp,6.41742,18000000,5.8,46,-0.856102747,0
Conan the Barbarian,10.949076,90000000,5.2,66,-0.844450482,0
City of Joy,1.408176,27000000,6.3,100,-0.838745932,0
Predestination,10.524204,5500000,7.3,84,-0.833333333,0
Sorcerer,13.966833,22000000,7.5,80,-0.833333333,0
Only the Strong,7.96433,6000000,6.8,13,-0.827390204,0
Species II,13.495247,35000000,4.5,9,-0.826192399,0
"New York, I Love You",13.825651,14700000,5.7,37,-0.826162725,0
Paradise,7.176726,34000000,5.6,33,-0.8245587,0
Trumbo,7.358726,15000000,7.3,74,-0.82134743,0
Timeline,6.982762,80000000,5.4,13,-0.820840121,0
Music of the Heart,3.104943,27000000,6.3,63,-0.817032377,0
Basic Instinct 2,15.321902,70000000,4.6,6,-0.81208765,0
Inherent Vice,13.52638,20000000,6.5,74,-0.80002205,0
Valiant,11.836827,35000000,5.2,32,-0.796889287,0
Marvin's Room,5.307984,23000000,6.6,84,-0.796411161,0
Streets of Fire,6.958758,14500000,6.6,68,-0.792493532,0
Running Scared,7.435544,17000000,7,41,-0.789473684,0
Peeping Tom,7.229587,150000,7.6,95,-0.78662887,0
Angel Eyes,5.3962,53000000,5.5,32,-0.784511785,0
City By The Sea,3.903016,40000000,5.7,48,-0.78301469,0
The Arrival,6.497591,25000000,6.1,66,-0.779565632,0
Running with Scissors,4.926507,12000000,5.8,31,-0.776488705,0
Roommates,3.395867,22000000,6.4,29,-0.774193548,0
Winged Migration,3.68993,35866397,7.1,95,-0.774064158,0
Lady in the Water,8.704554,75000000,5.3,25,-0.773671521,0
Chloe,10.445867,15000000,5.9,51,-0.773163245,0
88 Minutes,8.552967,30000000,5.7,5,-0.771909842,0
Disaster Movie,11.634132,25000000,3.1,1,-0.771882967,0
The Relic,7.699967,60000000,5.8,37,-0.76696094,0
Men with Brooms,1.418177,7500000,4.6,57,-0.766422429,0
The Apparition,7.683008,17000000,4.5,3,-0.765776591,0
My Favorite Martian,12.65102,65000000,5.1,12,-0.763902899,0
Connie and Carla,9.502332,20000000,6.4,44,-0.76351043,0
Centurion,13.00941,12000000,6,60,-0.760876235,0
The Card Player,3.501564,2600000,4.7,20,-0.757894637,0
Jennifer Eight,4.620936,20000000,5.8,38,-0.75585241,0
Stealth,13.89018,135000000,4.9,12,-0.754774934,0
Little Children,7.311148,26000000,6.9,80,-0.754189713,0
The Ladies Man,3.755409,24000000,5.7,11,-0.751824818,0
A Countess from Hong Kong,4.928589,3500000,5.9,43,-0.75,0
Strangeland,2.31478,1100000,4.7,6,-0.742654316,0
Lord of War,8.745216,42000000,7,61,-0.740723756,0
Repo Men,7.502967,32000000,6.2,21,-0.73819606,0
Night on Earth,8.291886,3500000,7.5,76,-0.736274748,0
Dahmer,3.66229,250000,5.2,73,-0.736014666,0
Fear and Loathing in Las Vegas,9.220346,18500000,7.2,50,-0.732165136,0
Man on the Moon,13.217419,82000000,6.9,64,-0.728702126,0
Drive Angry,7.668829,50000000,5.3,47,-0.72822602,0
The Man Who Loved Women,5.214505,19000000,4.4,82,-0.727272727,0
Summer Catch,5.499867,34000000,4.8,8,-0.726423691,0
So I Married an Axe Murderer,8.051914,20000000,6.1,53,-0.726298334,0
Down with Love,9.392508,35000000,6.1,60,-0.724290229,0
For the Boys,10.336913,40000000,6.5,44,-0.723956321,0
Edge of Seventeen,1.666469,1500000,5.7,80,-0.722650907,0
Driven,5.310558,94000000,4.5,71,-0.717060003,0
Getaway,13.224288,18000000,4.9,3,-0.713969365,0
Serving Sara,10.16841,29000000,5,4,-0.7129169,0
The Raid 2,8.434884,4500000,7.6,82,-0.712844315,0
The Rocker,9.469873,15000000,5.6,41,-0.711764041,0
District 13: Ultimatum,9.133996,15000000,6,75,-0.707188687,0
Contempt,7.543337,900000,7.5,92,-0.703164859,0
Into the Night,5.709878,11400000,6.4,40,-0.701492537,0
55 Days at Peking,2.972529,17000000,6.5,57,-0.7,0
The Unbearable Lightness of Being,6.815147,17000000,7,85,-0.698843767,0
The Secret of Moonacre,12.01334,12000000,6.2,23,-0.697233368,0
Money Train,7.337906,60000000,5.4,22,-0.693426904,0
The Girlfriend Experience,6.115299,1700000,5.2,67,-0.686571518,0
Capture the Flag,6.345679,14000000,5.7,46,-0.685388524,0
Devil in a Blue Dress,4.646132,27000000,6.3,92,-0.67277726,0
Myra Breckinridge,0.619657,5000000,4.8,27,-0.666666667,0
A Most Violent Year,17.187708,20000000,6.5,90,-0.6656853,0
Serial Mom,5.305311,13000000,6.4,63,-0.662257847,0
Michael Collins,6.728199,28000000,6.8,78,-0.656804734,0
Someone to Watch Over Me,3.50111,17000000,5.8,65,-0.653929947,0
Assassins,11.065939,50000000,6,98,-0.64999773,0
The Corruptor,9.208831,25000000,6.1,48,-0.649489978,0
Antitrust,8.142166,30000000,5.8,24,-0.648749341,0
You Kill Me,4.725299,4000000,6.2,78,-0.648226447,0
Suite Française,5.02124,15000000,7.1,76,-0.647497846,0
Renaissance Man,4.985157,40000000,5.9,12,-0.643903805,0
Heavenly Creatures,9.438042,5000000,6.9,93,-0.639809323,0
The Keep,3.554491,6000000,5.9,44,-0.638557665,0
MacGruber,11.107782,10000000,5.1,47,-0.636661211,0
"Tomorrow, When the War Began",4.983475,27000000,6.2,64,-0.635874262,0
Krull,9.848674,27000000,5.8,30,-0.634435992,0
I Still Know What You Did Last Summer,11.023042,65000000,5.1,7,-0.624914205,0
Dark Blue,4.98408,15000000,6.5,59,-0.623821241,0
The Little Vampire,9.41834,22000000,6,14,-0.622899047,0
Junior,6.710215,60000000,4.7,39,-0.621621622,0
The Greatest Game Ever Played,6.969342,25000000,6.9,63,-0.620096769,0
Woo,2.326115,13000000,5.5,10,-0.619539924,0
Big Miracle,6.159379,40000000,6.6,75,-0.618174364,0
Dead Ringers,5.53202,13000000,7,84,-0.617215533,0
The Conspirator,5.481452,25000000,6.2,56,-0.615112283,0
Legend,10.932786,25000000,6.2,61,-0.612683485,0
An Unfinished Life,7.761954,30000000,6.7,52,-0.611319282,0
Final Fantasy: The Spirits Within,10.223851,137000000,5.9,44,-0.609268825,0
The Star,0.321524,1300000,5,25,-0.606922126,0
The Hunted,7.481524,55000000,6,29,-0.606589564,0
Practical Magic,7.757795,75000000,6.3,23,-0.60656758,0
The Big Wedding,6.651605,35000000,5.7,7,-0.604080929,0
The Weather Man,8.345866,20000000,6,59,-0.602207842,0
Wolfen,2.522474,17000000,6,76,-0.599740277,0
Pandorum,10.391425,33000000,6.5,30,-0.59842467,0
Original Gangstas,0.343579,4800000,5.5,53,-0.592568016,0
Leviathan,10.653446,25000000,6,97,-0.591888855,0
Flypaper,8.132748,5000000,6.2,15,-0.5912651,0
Little Black Book,5.093704,35000000,5.2,22,-0.58839423,0
Never Let Me Go,8.278794,15000000,6.8,71,-0.586423263,0
Triple 9,12.892504,20000000,5.6,54,-0.582366488,0
Highlander: Endgame,11.430964,25000000,4.4,11,-0.577923412,0
Empire of the Sun,10.220906,35000000,7.3,76,-0.573833286,0
Blue in the Face,11.528147,2000000,6.8,43,-0.568627451,0
Solaris,10.642824,47000000,5.9,92,-0.566522651,0
The Replacement Killers,9.384887,30000000,6,37,-0.56209898,0
How to Lose Friends & Alienate People,11.981531,27000000,6.2,36,-0.561930637,0
Sunshine,12.715571,50000000,7,76,-0.561631196,0
Over the Top,8.431956,25000000,5.7,32,-0.556897117,0
Gods and Monsters,6.788021,10000000,6.8,96,-0.549996373,0
Catch and Release,5.953413,25000000,5.8,22,-0.547174559,0
Rock-A-Doodle,3.602031,18000000,5.3,20,-0.544085573,0
Detroit Rock City,6.074832,6500000,6.7,49,-0.541338095,0
The Spirit,5.762005,60000000,4.7,14,-0.537226357,0
Native Son,0.910047,2000000,2,62,-0.537136054,0
Wise Guys,1.884204,13000000,6.1,31,-0.533838965,0
Tusk,6.820925,2800000,5.1,46,-0.532814549,0
The Sweet Hereafter,6.002992,5000000,6.8,98,-0.532057538,0
The Whole Ten Yards,7.15606,40000000,5.5,4,-0.529298628,0
Around the World in 80 Days,7.825072,110000000,5.7,70,-0.523991189,0
The Zookeeper's Wife,13.655178,20000000,7.1,64,-0.519471072,0
The Alamo,4.73816,12000000,6.5,52,-0.518987342,0
Brideshead Revisited,11.069679,20000000,6.2,62,-0.514659136,0
A Cure for Wellness,13.28436,40000000,6,42,-0.506049216,0
Wilson,0.773081,2995000,5.5,47,-0.4975,0
Double Dragon,5.190767,3500000,3.9,12,-0.494890252,0
One Night with the King,3.660528,20000000,6.1,19,-0.493521031,0
The Insider,11.3569,90000000,7.3,96,-0.492787052,0
We Are Marshall,5.401746,65000000,6.7,49,-0.492696214,0
Racing with the Moon,10.941991,9000000,5.8,60,-0.488671951,0
Nine,5.658857,80000000,5.1,39,-0.486283968,0
Annapolis,5.450751,26000000,6,10,-0.485969703,0
Gymkata,1.542843,8500000,4.7,17,-0.483266313,0
The Other Side of Heaven,1.782377,7000000,6.7,30,-0.482934286,0
The Love Guru,6.258666,62000000,4.3,13,-0.48257742,0
Alex Cross,8.279285,45000000,5.1,11,-0.482543935,0
The Great Beauty,8.176134,12400000,7.3,91,-0.481289462,0
The Musketeer,4.260945,40000000,5.2,11,-0.478534543,0
Mission to Mars,9.021107,90000000,5.7,24,-0.478448775,0
Astro Boy,13.293466,65000000,6.1,50,-0.474221524,0
All Is Lost,12.74965,9000000,6.6,94,-0.473303736,0
Muppets from Space,7.531668,24000000,5.8,63,-0.473208235,0
Shaft in Africa,1.424722,2142000,5.4,64,-0.469135802,0
Hollywood Homicide,11.080439,75000000,5,30,-0.466486129,0
Barton Fink,8.387026,9000000,7.4,89,-0.462477935,0
Bad Santa 2,7.459161,26000000,5,23,-0.462138103,0
Pathfinder,11.101549,45000000,5.4,9,-0.459955323,0
Land of the Lost,7.642063,100000000,5.4,26,-0.455840761,0
Shoot 'Em Up,7.259086,39000000,6.3,67,-0.454103949,0
Fled,3.906949,25000000,5.2,18,-0.454060613,0
Spanglish,11.202764,80000000,5.8,54,-0.453452273,0
Teaching Mrs. Tingle,8.345784,13000000,5.3,19,-0.453124928,0
Red Dawn,5.627787,65000000,5.3,14,-0.450673216,0
The Man Who Knew Too Little,4.827771,20000000,6.5,37,-0.449091076,0
My Stepmother is an Alien,6.493525,20000000,5.3,20,-0.443626389,0
Mambo Italiano,2.873356,4361898,5.6,32,-0.43871514,0
The Life Aquatic with Steve Zissou,6.936677,50000000,7.1,57,-0.43643476,0
